permit_type,permit_type_desc,permit_num,permit_class_mapped,permit_class,work_class,condominium,project_name,description,property_legal_description,applied_date,issued_date,day_issued,calendar_year_issued,fiscal_year_issued,issuance_method,status_current,status_date,expires_date,completed_date,original_address_1,original_city,original_state,original_zip,latitude,longitude,location
PP,Plumbing Permit,2015-146522 PP,Commercial,Commercial,Repair,No,3535 E 7TH ST,Replacing 140' of gas line and 2 space heater,LOT 2  S 5763'X1714' OF LOT 34 OLT 17 DIV A PIPKIN ADDN NO 4,12/8/15,1/7/16,THURSDAY,2016,2016,Permit Center,Final,1/8/16,1/8/16,1/8/16,3535 E 7TH ST,EAST AUSTIN,TX,78702,30.25586075,-97.70215109,"(30.25586075, -97.70215109)"
EP,Electrical Permit,2015-146781 EP,Residential,Single Family Houses,New,No,1310 DELONEY ST,New 2story single family residence to have 3 bedrooms 25 bathrooms covered front porch and side stoop,1610 AC OF OLT 22 DIVISION B,7/13/15,1/7/16,THURSDAY,2016,2016,Permit Center,Final,9/1/16,9/1/16,9/1/16,1310 DELONEY ST,EAST AUSTIN,TX,78721,30.27996496,-97.6933277,"(30.27996496, -97.6933277)"
MP,Mechanical Permit,2015-146781 MP,Residential,Single Family Houses,New,No,1310 DELONEY ST,New 2story single family residence to have 3 bedrooms 25 bathrooms covered front porch and side stoop,1610 AC OF OLT 22 DIVISION B,7/13/15,2/23/16,TUESDAY,2016,2016,Online,Final,10/26/16,10/26/16,10/26/16,1310 DELONEY ST,EAST AUSTIN,TX,78721,30.27996496,-97.6933277,"(30.27996496, -97.6933277)"
PP,Plumbing Permit,2015-146806 PP,Residential,Residential,Repair,No,1209 1/2 WILLOW ST,capping off water and wastwater only,LOT 25 OLT 33 DIV O CANTERBURY SQUARE,10/19/15,8/24/16,WEDNESDAY,2016,2016,Permit Center,Final,12/8/17,12/8/17,12/8/17,1209 1/2 WILLOW ST,EAST AUSTIN,TX,78702,30.25858418,-97.73208000000001,"(30.25858418, -97.73208)"
PP,Plumbing Permit,2015-146975 PP,Residential,Residential,Remodel,No,1601 SINGLETON AVE,cap off waterwaste water lines only,LOT 7A GLENWOOD ADDN AMD LTS 7  8 BLK 10,1/22/15,1/4/16,MONDAY,2016,2016,Permit Center,Final,1/5/16,1/5/16,1/5/16,1601 SINGLETON AVE,EAST AUSTIN,TX,78702,30.27781762,-97.71440553,"(30.27781762, -97.71440553)"
PP,Plumbing Permit,2015-146979 PP,Residential,Residential,Remodel,No,2502 E 16TH ST,Cap off www lines only,LOT 7A GLENWOOD ADDN AMD LTS 7  8 BLK 10,1/22/15,1/4/16,MONDAY,2016,2016,Permit Center,Final,1/5/16,1/5/16,1/5/16,2502 E 16TH ST,EAST AUSTIN,TX,78702,30.27784724,-97.71423994,"(30.27784724, -97.71423994)"
EP,Electrical Permit,2015-147314 EP,Residential,Renovations/Remodel,Addition and Remodel,No,3108 DANCY ST,partial demo2 story addition to existing residence add consists of a living room half bath laundry room on first floor two bed rooms with a full bath on the 2nd story,LOT 47 OLT 28 DIV C AVALON A,10/19/15,1/11/16,MONDAY,2016,2016,Permit Center,Final,4/22/16,4/22/16,4/22/16,3108 DANCY ST,EAST AUSTIN,TX,78722,30.28831437,-97.72107712,"(30.28831437, -97.72107712)"
MP,Mechanical Permit,2015-147314 MP,Residential,Renovations/Remodel,Addition and Remodel,No,3108 DANCY ST,partial demo2 story addition to existing residence add consists of a living room half bath laundry room on first floor two bed rooms with a full bath on the 2nd story,LOT 47 OLT 28 DIV C AVALON A,10/19/15,1/27/16,WEDNESDAY,2016,2016,Online,Final,5/4/16,5/4/16,5/4/16,3108 DANCY ST,EAST AUSTIN,TX,78722,30.28831437,-97.72107712,"(30.28831437, -97.72107712)"
MP,Mechanical Permit,2015-147459 MP,Residential,Single Family Houses,New,No,1170 PANDORA ST,COCnew 2 story 4 bedroom 25 bathroom sing fam res,LOT 1415 BLK A OLT 14 DIV B HOMEWOOD HEIGHTS,11/16/15,1/28/16,THURSDAY,2016,2016,Online,Final,8/15/16,8/15/16,8/15/16,1170 PANDORA ST,EAST AUSTIN,TX,78702,30.27379608,-97.70618403,"(30.27379608, -97.70618403)"
EP,Electrical Permit,2015-147610 EP,Commercial,Commercial,Repair,No,1801 SALINA ST,Add 30amp240V circuit underground about 20ft to portable bldg and upgrade 200amp service to 320amp service,LOT 1A BLK 12 JOHNS C R ADDN RESUB LT 1  PT LT 2 BL 12,12/9/15,1/6/16,WEDNESDAY,2016,2016,Permit Center,Final,2/18/16,2/18/16,2/18/16,1801 SALINA ST,EAST AUSTIN,TX,78702,30.27888219,-97.72182672,"(30.27888219, -97.72182672)"
EP,Electrical Permit,2015-147662 EP,Residential,Single Family Houses,New,No,2112 E 8TH ST,SMART HOUSE NOT VOLUME BUILDER New construction of a 1story SFR 3 bedroom 2 bathroom cov'd front porch  SMART visitability exterior route waiver granted,LOT 12 BLK 22 GRANDVIEW PLACE,9/23/15,1/5/16,TUESDAY,2016,2016,Permit Center,Final,7/8/16,7/8/16,7/8/16,2112 E 8TH ST,EAST AUSTIN,TX,78702,30.26281748,-97.71818990000001,"(30.26281748, -97.7181899)"
MP,Mechanical Permit,2015-147662 MP,Residential,Single Family Houses,New,No,2112 E 8TH ST,SMART HOUSE NOT VOLUME BUILDER New construction of a 1story SFR 3 bedroom 2 bathroom cov'd front porch  SMART visitability exterior route waiver granted,LOT 12 BLK 22 GRANDVIEW PLACE,9/23/15,5/9/16,MONDAY,2016,2016,Permit Center,Final,8/16/16,8/16/16,8/16/16,2112 E 8TH ST,EAST AUSTIN,TX,78702,30.26281748,-97.71818990000001,"(30.26281748, -97.7181899)"
PP,Plumbing Permit,2015-147662 PP,Residential,Single Family Houses,New,No,2112 E 8TH ST,SMART HOUSE NOT VOLUME BUILDER New construction of a 1story SFR 3 bedroom 2 bathroom cov'd front porch  SMART visitability exterior route waiver granted,LOT 12 BLK 22 GRANDVIEW PLACE,9/23/15,2/19/16,FRIDAY,2016,2016,Permit Center,Final,8/18/16,8/18/16,8/18/16,2112 E 8TH ST,EAST AUSTIN,TX,78702,30.26281748,-97.71818990000001,"(30.26281748, -97.7181899)"
BP,Building Permit,2015-147751 BP,Residential,Residential,New,No,3217 LAFAYETTE AVE,New secondary apartment with garage and room below  1 bedroom 2 baths,LOT 1 BLK 2 OLT 2831 DIV C LAFAYETTE HEIGHTS,11/23/15,1/4/16,MONDAY,2016,2016,Permit Center,Final,8/2/16,8/2/16,8/2/16,3217 LAFAYETTE AVE,EAST AUSTIN,TX,78722,30.28915089,-97.71880433,"(30.28915089, -97.71880433)"
EP,Electrical Permit,2015-147751 EP,Residential,Residential,New,No,3217 LAFAYETTE AVE,New secondary apartment with garage and room below  1 bedroom 2 baths,LOT 1 BLK 2 OLT 2831 DIV C LAFAYETTE HEIGHTS,11/23/15,2/9/16,TUESDAY,2016,2016,Permit Center,Final,7/28/16,7/28/16,7/28/16,3217 LAFAYETTE AVE,EAST AUSTIN,TX,78722,30.28915089,-97.71880433,"(30.28915089, -97.71880433)"
MP,Mechanical Permit,2015-147751 MP,Residential,Residential,New,No,3217 LAFAYETTE AVE,New secondary apartment with garage and room below  1 bedroom 2 baths,LOT 1 BLK 2 OLT 2831 DIV C LAFAYETTE HEIGHTS,11/23/15,4/7/16,THURSDAY,2016,2016,Permit Center,Final,7/29/16,7/29/16,7/29/16,3217 LAFAYETTE AVE,EAST AUSTIN,TX,78722,30.28915089,-97.71880433,"(30.28915089, -97.71880433)"
PP,Plumbing Permit,2015-147751 PP,Residential,Residential,New,No,3217 LAFAYETTE AVE,New secondary apartment with garage and room below  1 bedroom 2 baths,LOT 1 BLK 2 OLT 2831 DIV C LAFAYETTE HEIGHTS,11/23/15,1/28/16,THURSDAY,2016,2016,Online,Final,7/29/16,7/29/16,7/29/16,3217 LAFAYETTE AVE,EAST AUSTIN,TX,78722,30.28915089,-97.71880433,"(30.28915089, -97.71880433)"
EP,Electrical Permit,2015-147891 EP,Commercial,Renovations/Remodel,Remodel,No,1407 E 7TH ST,Interior Remodel to existing Restaurant,LOT 4 BLK 1 OLT 4 DIVISION A,10/21/15,1/26/16,TUESDAY,2016,2016,Online,Final,6/21/16,6/21/16,6/21/16,1407 E 7TH ST,EAST AUSTIN,TX,78702,30.26422838,-97.7276379,"(30.26422838, -97.7276379)"
MP,Mechanical Permit,2015-147891 MP,Commercial,Renovations/Remodel,Remodel,No,1407 E 7TH ST,Interior Remodel to existing Restaurant,LOT 4 BLK 1 OLT 4 DIVISION A,10/21/15,2/25/16,THURSDAY,2016,2016,Online,Final,6/22/16,6/22/16,6/22/16,1407 E 7TH ST,EAST AUSTIN,TX,78702,30.26422838,-97.7276379,"(30.26422838, -97.7276379)"
PP,Plumbing Permit,2015-147891 PP,Commercial,Renovations/Remodel,Remodel,No,1407 E 7TH ST,Interior Remodel to existing Restaurant,LOT 4 BLK 1 OLT 4 DIVISION A,10/21/15,1/21/16,THURSDAY,2016,2016,Permit Center,Final,6/15/16,6/15/16,6/15/16,1407 E 7TH ST,EAST AUSTIN,TX,78702,30.26422838,-97.7276379,"(30.26422838, -97.7276379)"
EP,Electrical Permit,2015-147892 EP,Residential,Renovations/Remodel,Addition and Remodel,No,2406 E 16TH ST,Partial Demo remove existing noncomplying portion of home second story addition 3 bedrooms 3 baths,0118 AC OF LOT 7 BLK 11 OLT 3233 DIV B GLENWOOD ADDN,10/28/15,1/7/16,THURSDAY,2016,2016,Permit Center,Final,10/7/16,10/7/16,10/7/16,2406 E 16TH ST,EAST AUSTIN,TX,78702,30.27768025,-97.71522048,"(30.27768025, -97.71522048)"
MP,Mechanical Permit,2015-147892 MP,Residential,Renovations/Remodel,Addition and Remodel,No,2406 E 16TH ST,Partial Demo remove existing noncomplying portion of home second story addition 3 bedrooms 3 baths,0118 AC OF LOT 7 BLK 11 OLT 3233 DIV B GLENWOOD ADDN,10/28/15,4/12/16,TUESDAY,2016,2016,Permit Center,Final,11/10/16,11/10/16,11/10/16,2406 E 16TH ST,EAST AUSTIN,TX,78702,30.27768025,-97.71522048,"(30.27768025, -97.71522048)"
PP,Plumbing Permit,2015-147892 PP,Residential,Renovations/Remodel,Addition and Remodel,No,2406 E 16TH ST,Partial Demo remove existing noncomplying portion of home second story addition 3 bedrooms 3 baths,0118 AC OF LOT 7 BLK 11 OLT 3233 DIV B GLENWOOD ADDN,10/28/15,1/13/16,WEDNESDAY,2016,2016,Permit Center,Final,11/10/16,11/10/16,11/10/16,2406 E 16TH ST,EAST AUSTIN,TX,78702,30.27768025,-97.71522048,"(30.27768025, -97.71522048)"
EP,Electrical Permit,2015-147893 EP,Residential,Residential,New,No,2406 E 16TH ST,Accessory structure 2 car garage with office  12 bath above,0118 AC OF LOT 7 BLK 11 OLT 3233 DIV B GLENWOOD ADDN,10/28/15,1/7/16,THURSDAY,2016,2016,Permit Center,Final,10/5/16,10/5/16,10/5/16,2406 E 16TH ST,EAST AUSTIN,TX,78702,30.27768025,-97.71522048,"(30.27768025, -97.71522048)"
MP,Mechanical Permit,2015-147893 MP,Residential,Residential,New,No,2406 E 16TH ST,Accessory structure 2 car garage with office  12 bath above,0118 AC OF LOT 7 BLK 11 OLT 3233 DIV B GLENWOOD ADDN,10/28/15,9/28/16,WEDNESDAY,2016,2016,Permit Center,Final,10/10/16,10/10/16,10/10/16,2406 E 16TH ST,EAST AUSTIN,TX,78702,30.27768025,-97.71522048,"(30.27768025, -97.71522048)"
PP,Plumbing Permit,2015-147893 PP,Residential,Residential,New,No,2406 E 16TH ST,Accessory structure 2 car garage with office  12 bath above,0118 AC OF LOT 7 BLK 11 OLT 3233 DIV B GLENWOOD ADDN,10/28/15,2/4/16,THURSDAY,2016,2016,Permit Center,Final,12/1/16,12/1/16,12/1/16,2406 E 16TH ST,EAST AUSTIN,TX,78702,30.27768025,-97.71522048,"(30.27768025, -97.71522048)"
MP,Mechanical Permit,2015-148368 MP,Residential,Renovations/Remodel,Addition and Remodel,No,1602 GREENWOOD AVE,partial demobring house up to code permit unpermitted addition in rear remodel throughout,LOT 18 BLK A GREENWOOD HEIGHTS,9/16/15,1/13/16,WEDNESDAY,2016,2016,Online,Final,8/15/16,8/15/16,8/15/16,1602 GREENWOOD AVE,EAST AUSTIN,TX,78721,30.28048525,-97.69695777,"(30.28048525, -97.69695777)"
PP,Plumbing Permit,2015-148368 PP,Residential,Renovations/Remodel,Addition and Remodel,No,1602 GREENWOOD AVE,partial demobring house up to code permit unpermitted addition in rear remodel throughout,LOT 18 BLK A GREENWOOD HEIGHTS,9/16/15,1/5/16,TUESDAY,2016,2016,Permit Center,Final,7/15/16,7/15/16,7/15/16,1602 GREENWOOD AVE,EAST AUSTIN,TX,78721,30.28048525,-97.69695777,"(30.28048525, -97.69695777)"
EP,Electrical Permit,2015-148374 EP,Commercial,C- 326 Schools & Other Educational Bldgs,New,No,1012 ARTHUR STILES RD Unit 2,New Restroom Buildings for existing Public Educational Facilities,ABS 22 SUR 29 TANNEHILL J C ACR 2731,12/10/15,2/29/16,MONDAY,2016,2016,Permit Center,Final,2/16/17,2/3/17,2/3/17,1012 ARTHUR STILES RD UNIT 2,EAST AUSTIN,TX,78721,30.25777617,-97.68166388,"(30.25777617, -97.68166388)"
MP,Mechanical Permit,2015-148374 MP,Commercial,C- 326 Schools & Other Educational Bldgs,New,No,1012 ARTHUR STILES RD Unit 2,New Restroom Buildings for existing Public Educational Facilities,ABS 22 SUR 29 TANNEHILL J C ACR 2731,12/10/15,5/27/16,FRIDAY,2016,2016,Permit Center,Final,3/15/17,3/15/17,3/15/17,1012 ARTHUR STILES RD UNIT 2,EAST AUSTIN,TX,78721,30.25777617,-97.68166388,"(30.25777617, -97.68166388)"
PP,Plumbing Permit,2015-148374 PP,Commercial,C- 326 Schools & Other Educational Bldgs,New,No,1012 ARTHUR STILES RD Unit 2,New Restroom Buildings for existing Public Educational Facilities,ABS 22 SUR 29 TANNEHILL J C ACR 2731,12/10/15,2/16/16,TUESDAY,2016,2016,Permit Center,Final,3/15/17,3/15/17,3/15/17,1012 ARTHUR STILES RD UNIT 2,EAST AUSTIN,TX,78721,30.25777617,-97.68166388,"(30.25777617, -97.68166388)"
BP,Building Permit,2015-148380 BP,Residential,Single Family Houses,New,No,1404 DELONEY ST,new 2 bedroom 1 bathroom 1 story sing fam res,50 X 264FT OLT 22 DIVISION B,7/27/15,1/22/16,FRIDAY,2016,2016,Permit Center,Final,11/6/17,11/6/17,11/6/17,1404 DELONEY ST,EAST AUSTIN,TX,78721,30.28028178,-97.69348699,"(30.28028178, -97.69348699)"
EP,Electrical Permit,2015-148380 EP,Residential,Single Family Houses,New,No,1404 DELONEY ST,new 2 bedroom 1 bathroom 1 story sing fam res,50 X 264FT OLT 22 DIVISION B,7/27/15,2/11/16,THURSDAY,2016,2016,Permit Center,Final,9/1/17,9/1/17,9/1/17,1404 DELONEY ST,EAST AUSTIN,TX,78721,30.28028178,-97.69348699,"(30.28028178, -97.69348699)"
MP,Mechanical Permit,2015-148380 MP,Residential,Single Family Houses,New,No,1404 DELONEY ST,new 2 bedroom 1 bathroom 1 story sing fam res,50 X 264FT OLT 22 DIVISION B,7/27/15,11/18/16,FRIDAY,2016,2017,Permit Center,Final,9/13/17,9/13/17,9/13/17,1404 DELONEY ST,EAST AUSTIN,TX,78721,30.28028178,-97.69348699,"(30.28028178, -97.69348699)"
PP,Plumbing Permit,2015-148380 PP,Residential,Single Family Houses,New,No,1404 DELONEY ST,new 2 bedroom 1 bathroom 1 story sing fam res,50 X 264FT OLT 22 DIVISION B,7/27/15,2/10/16,WEDNESDAY,2016,2016,Permit Center,Final,9/13/17,9/13/17,9/13/17,1404 DELONEY ST,EAST AUSTIN,TX,78721,30.28028178,-97.69348699,"(30.28028178, -97.69348699)"
BP,Building Permit,2015-148658 BP,Residential,Renovations/Remodel,Addition and Remodel,No,1905 E 14TH ST,partial demoof exterior utility room on primary structure new bath and closet in bedroom partial demo Complete rewiring of house,LOT 8 BLK 8 OLT 34 DIVISION B,8/19/15,3/28/16,MONDAY,2016,2016,Permit Center,Final,8/21/17,8/21/17,8/21/17,1905 E 14TH ST,EAST AUSTIN,TX,78702,30.27564695,-97.71976263,"(30.27564695, -97.71976263)"
BP,Building Permit,2015-148659 BP,Residential,Renovations/Remodel,Addition and Remodel,No,1905 E 14TH ST Unit B,partial demofor window cut out on secondary unit adding bedroom and bathroom to back house to convert to secondary apartment Relocating service to secondary unit Complete rewiring,LOT 8 BLK 8 OLT 34 DIVISION B,8/19/15,3/28/16,MONDAY,2016,2016,Permit Center,Final,7/21/17,7/21/17,7/21/17,1905 E 14TH ST UNIT B,EAST AUSTIN,TX,78702,30.27564695,-97.71976263,"(30.27564695, -97.71976263)"
EP,Electrical Permit,2015-148658 EP,Residential,Renovations/Remodel,Addition and Remodel,No,1905 E 14TH ST,partial demoof exterior utility room on primary structure new bath and closet in bedroom partial demo Complete rewiring of house,LOT 8 BLK 8 OLT 34 DIVISION B,8/19/15,5/18/16,WEDNESDAY,2016,2016,Permit Center,Final,6/30/17,6/30/17,6/30/17,1905 E 14TH ST,EAST AUSTIN,TX,78702,30.27564695,-97.71976263,"(30.27564695, -97.71976263)"
PP,Plumbing Permit,2015-148658 PP,Residential,Renovations/Remodel,Addition and Remodel,No,1905 E 14TH ST,partial demoof exterior utility room on primary structure new bath and closet in bedroom partial demo Complete rewiring of house,LOT 8 BLK 8 OLT 34 DIVISION B,8/19/15,7/21/16,THURSDAY,2016,2016,Permit Center,Final,8/21/17,8/21/17,8/21/17,1905 E 14TH ST,EAST AUSTIN,TX,78702,30.27564695,-97.71976263,"(30.27564695, -97.71976263)"
EP,Electrical Permit,2015-148659 EP,Residential,Renovations/Remodel,Addition and Remodel,No,1905 E 14TH ST UNIT B,partial demofor window cut out on secondary unit adding bedroom and bathroom to back house to convert to secondary apartment Relocating service to secondary unit Complete rewiring,LOT 8 BLK 8 OLT 34 DIVISION B,8/19/15,5/18/16,WEDNESDAY,2016,2016,Permit Center,Final,6/30/17,6/30/17,6/30/17,1905 E 14TH ST UNIT B,EAST AUSTIN,TX,78702,30.27564695,-97.71976263,"(30.27564695, -97.71976263)"
MP,Mechanical Permit,2015-148659 MP,Residential,Renovations/Remodel,Addition and Remodel,No,1905 E 14TH ST UNIT B,partial demofor window cut out on secondary unit adding bedroom and bathroom to back house to convert to secondary apartment CRelocating service to secondary unit Complete rewiring,LOT 8 BLK 8 OLT 34 DIVISION B,8/19/15,6/23/16,THURSDAY,2016,2016,Permit Center,Final,7/21/17,7/21/17,7/21/17,1905 E 14TH ST UNIT B,EAST AUSTIN,TX,78702,30.27564695,-97.71976263,"(30.27564695, -97.71976263)"
PP,Plumbing Permit,2015-148659 PP,Residential,Renovations/Remodel,Addition and Remodel,No,1905 E 14TH ST Unit B,partial demofor window cut out on secondary unit adding bedroom and bathroom to back house to convert to secondary apartment Relocating service to secondary unit Complete rewiring,LOT 8 BLK 8 OLT 34 DIVISION B,8/19/15,5/10/16,TUESDAY,2016,2016,Permit Center,Final,7/17/17,7/17/17,7/17/17,1905 E 14TH ST UNIT B,EAST AUSTIN,TX,78702,30.27564695,-97.71976263,"(30.27564695, -97.71976263)"
PP,Plumbing Permit,2015-149000 PP,Residential,Residential,Repair,No,1917 E 11TH ST,Austin Water Violation Plumbing PermitSewer line repair to an existing residence,LOT 8 BLK G OLT 8962 DIV B COLLEGE HEIGHTS ADDN,12/14/15,1/28/16,THURSDAY,2016,2016,Permit Center,Final,2/2/16,2/2/16,2/2/16,1917 E 11TH ST,EAST AUSTIN,TX,78702,30.26550966,-97.71951743,"(30.26550966, -97.71951743)"
EP,Electrical Permit,2015-149042 EP,Residential,Single Family Houses,New,No,3207 NEAL ST,New sf res 3 bedrms 2 bathrms,E 50FT OF LOT 3 BLK C OLT 4142 DIV A CHERICO SUBD NO 1,11/18/15,1/21/16,THURSDAY,2016,2016,Permit Center,Final,3/7/16,3/7/16,3/7/16,3207 NEAL ST,EAST AUSTIN,TX,78702,30.26448982,-97.70194127,"(30.26448982, -97.70194127)"
PP,Plumbing Permit,2015-149042 PP,Residential,Single Family Houses,New,No,3207 NEAL ST,New sf res 3 bedrms 2 bathrms,E 50FT OF LOT 3 BLK C OLT 4142 DIV A CHERICO SUBD NO 1,11/18/15,3/2/16,WEDNESDAY,2016,2016,Online,Final,3/7/16,3/7/16,3/7/16,3207 NEAL ST,EAST AUSTIN,TX,78702,30.26448982,-97.70194127,"(30.26448982, -97.70194127)"
EP,Electrical Permit,2015-150116 EP,Residential,Residential,New,No,2715 FRANCISCO ST,Inground swimming pool wreq'd enclosure device for existing 1 story SF res,LOT 14 BLK 3 OLT 3435 DIV A JONES I P SUBD,10/14/15,1/5/16,TUESDAY,2016,2016,Permit Center,Final,2/4/16,2/4/16,2/4/16,2715 FRANCISCO ST,EAST AUSTIN,TX,78702,30.26257376,-97.70936311,"(30.26257376, -97.70936311)"
PP,Plumbing Permit,2015-150116 PP,Residential,Residential,New,No,2715 FRANCISCO ST,Inground swimming pool wreq'd enclosure device for existing 1 story SF res,LOT 14 BLK 3 OLT 3435 DIV A JONES I P SUBD,10/14/15,1/20/16,WEDNESDAY,2016,2016,Online,Final,2/2/16,2/2/16,2/2/16,2715 FRANCISCO ST,EAST AUSTIN,TX,78702,30.26257376,-97.70936311,"(30.26257376, -97.70936311)"
EP,Electrical Permit,2015-150325 EP,Residential,Renovations/Remodel,Addition and Remodel,No,602 VERMONT RD,Partial Demo Interior remodel converting noncompliant duplex in primary structure back into a SFR upgrades include Electrical and plumbing work,60 X 170FT OLT 16 DIVISION A,11/13/15,1/8/16,FRIDAY,2016,2016,Permit Center,Final,3/30/16,3/30/16,3/30/16,602 VERMONT RD,EAST AUSTIN,TX,78702,30.25526957,-97.70349782,"(30.25526957, -97.70349782)"
PP,Plumbing Permit,2015-150325 PP,Residential,Renovations/Remodel,Addition and Remodel,No,602 VERMONT RD,Partial Demo Interior remodel converting noncompliant duplex in primary structure back into a SFR upgrades include Electrical and plumbing work,60 X 170FT OLT 16 DIVISION A,11/13/15,2/19/16,FRIDAY,2016,2016,Permit Center,Final,5/6/16,5/6/16,5/6/16,602 VERMONT RD,EAST AUSTIN,TX,78702,30.25526957,-97.70349782,"(30.25526957, -97.70349782)"
BP,Building Permit,2015-150346 BP,Residential,Demolition,Demolition,No,2204 HOLLY ST,Total demo of home and detached structure  Circa 1939,LOT 11 BLK C OLT 51 DIV O BENSONS SUBD,10/19/15,1/8/16,FRIDAY,2016,2016,Permit Center,Final,9/6/18,9/6/18,9/6/18,2204 HOLLY ST,EAST AUSTIN,TX,78702,30.25212703,-97.72183753,"(30.25212703, -97.72183753)"
BP,Building Permit,2015-150347 BP,Residential,Demolition,Demolition,No,2204 HOLLY ST,total demo of detached structure,LOT 11 BLK C OLT 51 DIV O BENSONS SUBD,10/19/15,1/8/16,FRIDAY,2016,2016,Permit Center,Final,9/6/18,9/6/18,9/6/18,2204 HOLLY ST,EAST AUSTIN,TX,78702,30.25212703,-97.72183753,"(30.25212703, -97.72183753)"
BP,Building Permit,2015-150752 BP,Residential,Single Family Houses,New,No,2320 WILLOW ST BLDG A,New single family residence with 3 bedrooms 25 bathrooms covered front porch attached 2car garage and 2nd floor deck off master bedroom,LOT 2 LINDNER A H SUBD,10/2/15,1/19/16,TUESDAY,2016,2016,Permit Center,Final,11/8/16,11/8/16,11/8/16,2320 WILLOW ST BLDG A,EAST AUSTIN,TX,78702,30.25402444,-97.71818094,"(30.25402444, -97.71818094)"
BP,Building Permit,2015-150753 BP,Residential,Residential,New,No,2320 WILLOW ST BLDG B,New secondary apartment with 2 bedrooms 15 bathrooms 1car attached garage covered front porch side stoop and 2nd floor deck,LOT 2 LINDNER A H SUBD,10/2/15,1/19/16,TUESDAY,2016,2016,Permit Center,Final,11/14/16,11/14/16,11/14/16,2320 WILLOW ST BLDG B,EAST AUSTIN,TX,78702,30.25402444,-97.71818094,"(30.25402444, -97.71818094)"
EP,Electrical Permit,2015-150752 EP,Residential,Single Family Houses,New,No,2320 WILLOW ST BLDG A,New single family residence with 3 bedrooms 25 bathrooms covered front porch attached 2car garage and 2nd floor deck off master bedroom,LOT 2 LINDNER A H SUBD,10/2/15,2/16/16,TUESDAY,2016,2016,Permit Center,Final,9/30/16,9/30/16,9/30/16,2320 WILLOW ST BLDG A,EAST AUSTIN,TX,78702,30.25402444,-97.71818094,"(30.25402444, -97.71818094)"
MP,Mechanical Permit,2015-150752 MP,Residential,Single Family Houses,New,No,2320 WILLOW ST BLDG A,New single family residence with 3 bedrooms 25 bathrooms covered front porch attached 2car garage and 2nd floor deck off master bedroom,LOT 2 LINDNER A H SUBD,10/2/15,5/25/16,WEDNESDAY,2016,2016,Online,Final,11/8/16,11/8/16,11/8/16,2320 WILLOW ST BLDG A,EAST AUSTIN,TX,78702,30.25402444,-97.71818094,"(30.25402444, -97.71818094)"
PP,Plumbing Permit,2015-150752 PP,Residential,Single Family Houses,New,No,2320 WILLOW ST BLDG A,New single family residence with 3 bedrooms 25 bathrooms covered front porch attached 2car garage and 2nd floor deck off master bedroom,LOT 2 LINDNER A H SUBD,10/2/15,2/8/16,MONDAY,2016,2016,Permit Center,Final,11/8/16,11/8/16,11/8/16,2320 WILLOW ST BLDG A,EAST AUSTIN,TX,78702,30.25402444,-97.71818094,"(30.25402444, -97.71818094)"
EP,Electrical Permit,2015-150753 EP,Residential,Residential,New,No,2320 WILLOW ST BLDG B,New secondary apartment with 2 bedrooms 15 bathrooms 1car attached garage covered front porch side stoop and 2nd floor deck,LOT 2 LINDNER A H SUBD,10/2/15,2/16/16,TUESDAY,2016,2016,Permit Center,Final,9/30/16,9/30/16,9/30/16,2320 WILLOW ST BLDG B,EAST AUSTIN,TX,78702,30.25402444,-97.71818094,"(30.25402444, -97.71818094)"
MP,Mechanical Permit,2015-150753 MP,Residential,Residential,New,No,2320 WILLOW ST BLDG B,New secondary apartment with 2 bedrooms 15 bathrooms 1car attached garage covered front porch side stoop and 2nd floor deck,LOT 2 LINDNER A H SUBD,10/2/15,5/20/16,FRIDAY,2016,2016,Online,Final,11/8/16,11/8/16,11/8/16,2320 WILLOW ST BLDG B,EAST AUSTIN,TX,78702,30.25402444,-97.71818094,"(30.25402444, -97.71818094)"
PP,Plumbing Permit,2015-150753 PP,Residential,Residential,New,No,2320 WILLOW ST BLDG B,New secondary apartment with 2 bedrooms 15 bathrooms 1car attached garage covered front porch side stoop and 2nd floor deck,LOT 2 LINDNER A H SUBD,10/2/15,2/8/16,MONDAY,2016,2016,Permit Center,Final,11/8/16,11/8/16,11/8/16,2320 WILLOW ST BLDG B,EAST AUSTIN,TX,78702,30.25402444,-97.71818094,"(30.25402444, -97.71818094)"
PP,Plumbing Permit,2015-151461 PP,Residential,Residential,Repair,No,1112 E 8TH ST,Austin Water Violation Plumbing Permit,LOT 8  00309AC LOTS 910 BLK 3 OLT 23 DIV B ROBERTSON GEO L SUBD,12/21/15,3/3/16,THURSDAY,2016,2016,Permit Center,Final,4/27/16,4/27/16,4/27/16,1112 E 8TH ST,EAST AUSTIN,TX,78702,30.26637024,-97.72895838,"(30.26637024, -97.72895838)"
PP,Plumbing Permit,2015-151466 PP,Residential,Residential,Repair,No,2313 E 9TH ST,Austin Water Violation Plumbing Permit,LOT 7 BLK 24 GRANDVIEW PLACE,12/21/15,6/3/16,FRIDAY,2016,2016,Permit Center,Final,6/9/16,6/9/16,6/9/16,2313 E 9TH ST,EAST AUSTIN,TX,78702,30.264000300000003,-97.71590829,"(30.2640003, -97.71590829)"
